timestamp,datetime_utc,date,value,classification
1517463000,2018-02-01 05:30:00+00:00,2018-02-01,30,Fear
1517549400,2018-02-02 05:30:00+00:00,2018-02-02,15,Extreme Fear
1517635800,2018-02-03 05:30:00+00:00,2018-02-03,40,Fear
1517722200,2018-02-04 05:30:00+00:00,2018-02-04,24,Extreme Fear
1517808600,2018-02-05 05:30:00+00:00,2018-02-05,11,Extreme Fear
1517895000,2018-02-06 05:30:00+00:00,2018-02-06,8,Extreme Fear
1517981400,2018-02-07 05:30:00+00:00,2018-02-07,36,Fear
1518067800,2018-02-08 05:30:00+00:00,2018-02-08,30,Fear
1518154200,2018-02-09 05:30:00+00:00,2018-02-09,44,Fear
1518240600,2018-02-10 05:30:00+00:00,2018-02-10,54,Neutral
1518327000,2018-02-11 05:30:00+00:00,2018-02-11,31,Fear
1518413400,2018-02-12 05:30:00+00:00,2018-02-12,42,Fear
1518499800,2018-02-13 05:30:00+00:00,2018-02-13,35,Fear
1518586200,2018-02-14 05:30:00+00:00,2018-02-14,55,Greed
1518672600,2018-02-15 05:30:00+00:00,2018-02-15,71,Greed
1518759000,2018-02-16 05:30:00+00:00,2018-02-16,67,Greed
1518845400,2018-02-17 05:30:00+00:00,2018-02-17,74,Greed
1518931800,2018-02-18 05:30:00+00:00,2018-02-18,63,Greed
1519018200,2018-02-19 05:30:00+00:00,2018-02-19,67,Greed
1519104600,2018-02-20 05:30:00+00:00,2018-02-20,74,Greed
1519191000,2018-02-21 05:30:00+00:00,2018-02-21,54,Neutral
1519277400,2018-02-22 05:30:00+00:00,2018-02-22,44,Fear
1519363800,2018-02-23 05:30:00+00:00,2018-02-23,39,Fear
1519450200,2018-02-24 05:30:00+00:00,2018-02-24,31,Fear
1519536600,2018-02-25 05:30:00+00:00,2018-02-25,33,Fear
1519623000,2018-02-26 05:30:00+00:00,2018-02-26,37,Fear
1519709400,2018-02-27 05:30:00+00:00,2018-02-27,44,Fear
1519795800,2018-02-28 05:30:00+00:00,2018-02-28,41,Fear
1519882200,2018-03-01 05:30:00+00:00,2018-03-01,38,Fear
1519968600,2018-03-02 05:30:00+00:00,2018-03-02,47,Neutral
1520055000,2018-03-03 05:30:00+00:00,2018-03-03,56,Greed
1520141400,2018-03-04 05:30:00+00:00,2018-03-04,44,Fear
1520227800,2018-03-05 05:30:00+00:00,2018-03-05,55,Greed
1520314200,2018-03-06 05:30:00+00:00,2018-03-06,59,Greed
1520400600,2018-03-07 05:30:00+00:00,2018-03-07,37,Fear
1520487000,2018-03-08 05:30:00+00:00,2018-03-08,39,Fear
1520573400,2018-03-09 05:30:00+00:00,2018-03-09,37,Fear
1520659800,2018-03-10 05:30:00+00:00,2018-03-10,39,Fear
1520746200,2018-03-11 05:30:00+00:00,2018-03-11,40,Fear
1520832600,2018-03-12 05:30:00+00:00,2018-03-12,41,Fear
1520919000,2018-03-13 05:30:00+00:00,2018-03-13,41,Fear
1521005400,2018-03-14 05:30:00+00:00,2018-03-14,40,Fear
1521091800,2018-03-15 05:30:00+00:00,2018-03-15,32,Fear
1521178200,2018-03-16 05:30:00+00:00,2018-03-16,33,Fear
1521264600,2018-03-17 05:30:00+00:00,2018-03-17,31,Fear
1521351000,2018-03-18 05:30:00+00:00,2018-03-18,29,Fear
1521437400,2018-03-19 05:30:00+00:00,2018-03-19,29,Fear
1521523800,2018-03-20 05:30:00+00:00,2018-03-20,37,Fear
1521610200,2018-03-21 05:30:00+00:00,2018-03-21,36,Fear
1521696600,2018-03-22 05:30:00+00:00,2018-03-22,36,Fear
1521783000,2018-03-23 05:30:00+00:00,2018-03-23,28,Fear
1521869400,2018-03-24 05:30:00+00:00,2018-03-24,32,Fear
1521955800,2018-03-25 05:30:00+00:00,2018-03-25,30,Fear
1522042200,2018-03-26 05:30:00+00:00,2018-03-26,31,Fear
1522128600,2018-03-27 05:30:00+00:00,2018-03-27,24,Extreme Fear
1522215000,2018-03-28 05:30:00+00:00,2018-03-28,24,Extreme Fear
1522301400,2018-03-29 05:30:00+00:00,2018-03-29,18,Extreme Fear
1522387800,2018-03-30 05:30:00+00:00,2018-03-30,12,Extreme Fear
1522474200,2018-03-31 05:30:00+00:00,2018-03-31,16,Extreme Fear
1522560600,2018-04-01 05:30:00+00:00,2018-04-01,16,Extreme Fear
1522647000,2018-04-02 05:30:00+00:00,2018-04-02,11,Extreme Fear
1522733400,2018-04-03 05:30:00+00:00,2018-04-03,22,Extreme Fear
1522819800,2018-04-04 05:30:00+00:00,2018-04-04,22,Extreme Fear
1522906200,2018-04-05 05:30:00+00:00,2018-04-05,17,Extreme Fear
1522992600,2018-04-06 05:30:00+00:00,2018-04-06,19,Extreme Fear
1523079000,2018-04-07 05:30:00+00:00,2018-04-07,20,Extreme Fear
1523165400,2018-04-08 05:30:00+00:00,2018-04-08,17,Extreme Fear
1523251800,2018-04-09 05:30:00+00:00,2018-04-09,21,Extreme Fear
1523338200,2018-04-10 05:30:00+00:00,2018-04-10,18,Extreme Fear
1523424600,2018-04-11 05:30:00+00:00,2018-04-11,20,Extreme Fear
1523511000,2018-04-12 05:30:00+00:00,2018-04-12,18,Extreme Fear
1523597400,2018-04-13 05:30:00+00:00,2018-04-13,23,Extreme Fear
1523943000,2018-04-17 05:30:00+00:00,2018-04-17,26,Fear
1524029400,2018-04-18 05:30:00+00:00,2018-04-18,24,Extreme Fear
1524115800,2018-04-19 05:30:00+00:00,2018-04-19,25,Fear
1524202200,2018-04-20 05:30:00+00:00,2018-04-20,26,Fear
1524288600,2018-04-21 05:30:00+00:00,2018-04-21,32,Fear
1524375000,2018-04-22 05:30:00+00:00,2018-04-22,31,Fear
1524461400,2018-04-23 05:30:00+00:00,2018-04-23,28,Fear
1524547800,2018-04-24 05:30:00+00:00,2018-04-24,29,Fear
1524634200,2018-04-25 05:30:00+00:00,2018-04-25,64,Greed
1524720600,2018-04-26 05:30:00+00:00,2018-04-26,47,Neutral
1524807000,2018-04-27 05:30:00+00:00,2018-04-27,55,Greed
1524893400,2018-04-28 05:30:00+00:00,2018-04-28,54,Neutral
1524979800,2018-04-29 05:30:00+00:00,2018-04-29,61,Greed
1525066200,2018-04-30 05:30:00+00:00,2018-04-30,59,Greed
1525152600,2018-05-01 05:30:00+00:00,2018-05-01,56,Greed
1525239000,2018-05-02 05:30:00+00:00,2018-05-02,52,Neutral
1525325400,2018-05-03 05:30:00+00:00,2018-05-03,55,Greed
1525411800,2018-05-04 05:30:00+00:00,2018-05-04,56,Greed
1525498200,2018-05-05 05:30:00+00:00,2018-05-05,63,Greed
1525584600,2018-05-06 05:30:00+00:00,2018-05-06,67,Greed
1525671000,2018-05-07 05:30:00+00:00,2018-05-07,56,Greed
1525757400,2018-05-08 05:30:00+00:00,2018-05-08,62,Greed
1525843800,2018-05-09 05:30:00+00:00,2018-05-09,53,Neutral
1525930200,2018-05-10 05:30:00+00:00,2018-05-10,63,Greed
1526016600,2018-05-11 05:30:00+00:00,2018-05-11,41,Fear
1526103000,2018-05-12 05:30:00+00:00,2018-05-12,44,Fear
